,Year,amount_executed,Municipality,number_crimes
0,2015-01-01,3779522492.529999,Aconchi,9
1,2015-01-01,3779522492.529999,Agua Prieta,696
2,2015-01-01,3779522492.529999,Álamos,183
3,2015-01-01,3779522492.529999,Altar,71
4,2015-01-01,3779522492.529999,Arivechi,7
5,2015-01-01,3779522492.529999,Arizpe,11
6,2015-01-01,3779522492.529999,Atil,1
7,2015-01-01,3779522492.529999,Bacadéhuachi,5
8,2015-01-01,3779522492.529999,Bacanora,6
9,2015-01-01,3779522492.529999,Bacerac,2
10,2015-01-01,3779522492.529999,Bacoachi,6
11,2015-01-01,3779522492.529999,Bácum,110
12,2015-01-01,3779522492.529999,Banámichi,2
13,2015-01-01,3779522492.529999,Baviácora,20
14,2015-01-01,3779522492.529999,Bavispe,5
15,2015-01-01,3779522492.529999,Benjamín Hill,29
16,2015-01-01,3779522492.529999,Caborca,1189
17,2015-01-01,3779522492.529999,Cajeme,4968
18,2015-01-01,3779522492.529999,Cananea,455
19,2015-01-01,3779522492.529999,Carbó,14
20,2015-01-01,3779522492.529999,La Colorada,10
21,2015-01-01,3779522492.529999,Cucurpe,11
22,2015-01-01,3779522492.529999,Cumpas,27
23,2015-01-01,3779522492.529999,Divisaderos,3
24,2015-01-01,3779522492.529999,Empalme,354
25,2015-01-01,3779522492.529999,Etchojoa,376
26,2015-01-01,3779522492.529999,Fronteras,28
27,2015-01-01,3779522492.529999,Granados,0
28,2015-01-01,3779522492.529999,Guaymas,963
29,2015-01-01,3779522492.529999,Hermosillo,10955
30,2015-01-01,3779522492.529999,Huachinera,5
31,2015-01-01,3779522492.529999,Huásabas,7
32,2015-01-01,3779522492.529999,Huatabampo,418
33,2015-01-01,3779522492.529999,Huépac,4
34,2015-01-01,3779522492.529999,Imuris,51
35,2015-01-01,3779522492.529999,Magdalena,209
36,2015-01-01,3779522492.529999,Mazatán,5
37,2015-01-01,3779522492.529999,Moctezuma,21
38,2015-01-01,3779522492.529999,Naco,42
39,2015-01-01,3779522492.529999,Nácori Chico,2
40,2015-01-01,3779522492.529999,Nacozari de García,100
41,2015-01-01,3779522492.529999,Navojoa,1178
42,2015-01-01,3779522492.529999,Nogales,1690
43,2015-01-01,3779522492.529999,Ónavas,3
44,2015-01-01,3779522492.529999,Opodepe,3
45,2015-01-01,3779522492.529999,Oquitoa,1
46,2015-01-01,3779522492.529999,Pitiquito,43
47,2015-01-01,3779522492.529999,Puerto Peñasco,563
48,2015-01-01,3779522492.529999,Quiriego,16
49,2015-01-01,3779522492.529999,Rayón,9
50,2015-01-01,3779522492.529999,Rosario,49
51,2015-01-01,3779522492.529999,Sahuaripa,45
52,2015-01-01,3779522492.529999,San Felipe de Jesús,2
53,2015-01-01,3779522492.529999,San Javier,2
54,2015-01-01,3779522492.529999,San Luis Río Colorado,2832
55,2015-01-01,3779522492.529999,San Miguel de Horcasitas,11
56,2015-01-01,3779522492.529999,San Pedro de la Cueva,3
57,2015-01-01,3779522492.529999,Santa Ana,96
58,2015-01-01,3779522492.529999,Santa Cruz,0
59,2015-01-01,3779522492.529999,Sáric,20
60,2015-01-01,3779522492.529999,Soyopa,5
61,2015-01-01,3779522492.529999,Suaqui Grande,2
62,2015-01-01,3779522492.529999,Tepache,4
63,2015-01-01,3779522492.529999,Trincheras,16
64,2015-01-01,3779522492.529999,Tubutama,12
65,2015-01-01,3779522492.529999,Ures,151
66,2015-01-01,3779522492.529999,Villa Hidalgo,4
67,2015-01-01,3779522492.529999,Villa Pesqueira,2
68,2015-01-01,3779522492.529999,Yécora,55
69,2015-01-01,3779522492.529999,General Plutarco Elías Calles,120
70,2015-01-01,3779522492.529999,Benito Juárez,292
71,2015-01-01,3779522492.529999,San Ignacio Río Muerto,39
72,2015-01-01,3779522492.529999,No Informado,11
73,2016-01-01,4375163125.9,Aconchi,56
74,2016-01-01,4375163125.9,Agua Prieta,677
75,2016-01-01,4375163125.9,Álamos,180
76,2016-01-01,4375163125.9,Altar,90
77,2016-01-01,4375163125.9,Arivechi,12
78,2016-01-01,4375163125.9,Arizpe,31
79,2016-01-01,4375163125.9,Atil,1
80,2016-01-01,4375163125.9,Bacadéhuachi,5
81,2016-01-01,4375163125.9,Bacanora,8
82,2016-01-01,4375163125.9,Bacerac,2
83,2016-01-01,4375163125.9,Bacoachi,4
84,2016-01-01,4375163125.9,Bácum,142
85,2016-01-01,4375163125.9,Banámichi,26
86,2016-01-01,4375163125.9,Baviácora,30
87,2016-01-01,4375163125.9,Bavispe,1
88,2016-01-01,4375163125.9,Benjamín Hill,78
89,2016-01-01,4375163125.9,Caborca,1619
90,2016-01-01,4375163125.9,Cajeme,4921
91,2016-01-01,4375163125.9,Cananea,393
92,2016-01-01,4375163125.9,Carbó,34
93,2016-01-01,4375163125.9,La Colorada,22
94,2016-01-01,4375163125.9,Cucurpe,9
95,2016-01-01,4375163125.9,Cumpas,56
96,2016-01-01,4375163125.9,Divisaderos,2
97,2016-01-01,4375163125.9,Empalme,455
98,2016-01-01,4375163125.9,Etchojoa,449
99,2016-01-01,4375163125.9,Fronteras,59
100,2016-01-01,4375163125.9,Granados,4
101,2016-01-01,4375163125.9,Guaymas,1094
102,2016-01-01,4375163125.9,Hermosillo,19092
103,2016-01-01,4375163125.9,Huachinera,2
104,2016-01-01,4375163125.9,Huásabas,8
105,2016-01-01,4375163125.9,Huatabampo,915
106,2016-01-01,4375163125.9,Huépac,9
107,2016-01-01,4375163125.9,Imuris,103
108,2016-01-01,4375163125.9,Magdalena,342
109,2016-01-01,4375163125.9,Mazatán,18
110,2016-01-01,4375163125.9,Moctezuma,15
111,2016-01-01,4375163125.9,Naco,26
112,2016-01-01,4375163125.9,Nácori Chico,7
113,2016-01-01,4375163125.9,Nacozari de García,128
114,2016-01-01,4375163125.9,Navojoa,1626
115,2016-01-01,4375163125.9,Nogales,1810
116,2016-01-01,4375163125.9,Ónavas,3
117,2016-01-01,4375163125.9,Opodepe,19
118,2016-01-01,4375163125.9,Oquitoa,4
119,2016-01-01,4375163125.9,Pitiquito,69
120,2016-01-01,4375163125.9,Puerto Peñasco,839
121,2016-01-01,4375163125.9,Quiriego,16
122,2016-01-01,4375163125.9,Rayón,14
123,2016-01-01,4375163125.9,Rosario,30
124,2016-01-01,4375163125.9,Sahuaripa,125
125,2016-01-01,4375163125.9,San Felipe de Jesús,6
126,2016-01-01,4375163125.9,San Javier,5
127,2016-01-01,4375163125.9,San Luis Río Colorado,2744
128,2016-01-01,4375163125.9,San Miguel de Horcasitas,54
129,2016-01-01,4375163125.9,San Pedro de la Cueva,5
130,2016-01-01,4375163125.9,Santa Ana,143
131,2016-01-01,4375163125.9,Santa Cruz,3
132,2016-01-01,4375163125.9,Sáric,15
133,2016-01-01,4375163125.9,Soyopa,17
134,2016-01-01,4375163125.9,Suaqui Grande,6
135,2016-01-01,4375163125.9,Tepache,7
136,2016-01-01,4375163125.9,Trincheras,24
137,2016-01-01,4375163125.9,Tubutama,13
138,2016-01-01,4375163125.9,Ures,165
139,2016-01-01,4375163125.9,Villa Hidalgo,12
140,2016-01-01,4375163125.9,Villa Pesqueira,14
141,2016-01-01,4375163125.9,Yécora,63
142,2016-01-01,4375163125.9,General Plutarco Elías Calles,126
143,2016-01-01,4375163125.9,Benito Juárez,257
144,2016-01-01,4375163125.9,San Ignacio Río Muerto,33
145,2016-01-01,4375163125.9,No Informado,30
146,2017-01-01,4148071296.140001,Aconchi,20
147,2017-01-01,4148071296.140001,Agua Prieta,361
148,2017-01-01,4148071296.140001,Álamos,67
149,2017-01-01,4148071296.140001,Altar,25
150,2017-01-01,4148071296.140001,Arivechi,1
151,2017-01-01,4148071296.140001,Arizpe,17
152,2017-01-01,4148071296.140001,Atil,2
153,2017-01-01,4148071296.140001,Bacadéhuachi,1
154,2017-01-01,4148071296.140001,Bacanora,4
155,2017-01-01,4148071296.140001,Bacerac,0
156,2017-01-01,4148071296.140001,Bacoachi,7
157,2017-01-01,4148071296.140001,Bácum,126
158,2017-01-01,4148071296.140001,Banámichi,4
159,2017-01-01,4148071296.140001,Baviácora,11
160,2017-01-01,4148071296.140001,Bavispe,3
161,2017-01-01,4148071296.140001,Benjamín Hill,43
162,2017-01-01,4148071296.140001,Caborca,613
163,2017-01-01,4148071296.140001,Cajeme,4357
164,2017-01-01,4148071296.140001,Cananea,83
165,2017-01-01,4148071296.140001,Carbó,28
166,2017-01-01,4148071296.140001,La Colorada,13
167,2017-01-01,4148071296.140001,Cucurpe,12
168,2017-01-01,4148071296.140001,Cumpas,13
169,2017-01-01,4148071296.140001,Divisaderos,3
170,2017-01-01,4148071296.140001,Empalme,272
171,2017-01-01,4148071296.140001,Etchojoa,226
172,2017-01-01,4148071296.140001,Fronteras,20
173,2017-01-01,4148071296.140001,Granados,2
174,2017-01-01,4148071296.140001,Guaymas,613
175,2017-01-01,4148071296.140001,Hermosillo,12579
176,2017-01-01,4148071296.140001,Huachinera,3
177,2017-01-01,4148071296.140001,Huásabas,2
178,2017-01-01,4148071296.140001,Huatabampo,527
179,2017-01-01,4148071296.140001,Huépac,2
180,2017-01-01,4148071296.140001,Imuris,83
181,2017-01-01,4148071296.140001,Magdalena,284
182,2017-01-01,4148071296.140001,Mazatán,10
183,2017-01-01,4148071296.140001,Moctezuma,23
184,2017-01-01,4148071296.140001,Naco,12
185,2017-01-01,4148071296.140001,Nácori Chico,1
186,2017-01-01,4148071296.140001,Nacozari de García,25
187,2017-01-01,4148071296.140001,Navojoa,1976
188,2017-01-01,4148071296.140001,Nogales,1240
